Area,Player Direction,Pass Direction,Offensive Action,Hop/1-2,Make/Miss,Off Dribble Hand,Defender Distance,PTS,Year,Date
Top,Away From Hoop,From Hoop,Drive Kick,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,12/8/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,N/A,Close,3,2024-2025,12/8/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,12/8/2024
Right Wing,Right,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,12/11/2024
Left Corner,Stationary,Right,Post Kick Out,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,12/11/2024
Right Wing,Right,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/11/2024
Right Wing,Stationary,Left,Iso,1-2 Right/Left,Make ,N/A,Tight,3,2024-2025,12/11/2024
Right Corner,Right,Left,Spot Up,Hop  ,Miss,N/A,Tight,0,2024-2025,12/11/2024
Top,Stationary,Right,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,12/15/2024
Top,Right,N/A Off Dribble,PnR,1-2 Left/Right,Miss,Right,Open,0,2024-2025,12/15/2024
Right Corner,Stationary,Left,Iso,1-2 Right/Left,Miss,N/A,Tight,0,2024-2025,12/15/2024
Right Wing,Away From Hoop,N/A Off Dribble,Pin Down,1-2 Right/Left,Miss,Right,Open,0,2024-2025,12/19/2024
Right Corner,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,12/19/2024
Right Wing,Right,From Hoop,DHO,1-2 Left/Right,Miss,N/A,Close,0,2024-2025,12/19/2024
Right Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,12/19/2024
Left Wing,Away From Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,12/19/2024
Left Wing,Right,N/A Off Dribble,Spot Up,Hop  ,Miss,Right,Open,0,2024-2025,12/21/2024
Left Wing,Right,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Right,Wide Open,3,2024-2025,12/21/2024
Left Wing,Away From Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/21/2024
Top,To Hoop,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Left,Open,3,2024-2025,12/23/2024
Left Corner,Left,Right,Drive Kick,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,12/25/2024
Right Corner,Away From Hoop,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,12/25/2024
Right Wing,Left,From Hoop,Post Kick Out,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,12/25/2024
Left Wing,To Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/27/2024
Right Wing,Right,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/27/2024
Left Wing,Right,N/A Off Dribble,PnR,1-2 Left/Right,Miss,Right,Open,0,2024-2025,12/27/2024
Right Wing,Away From Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,12/27/2024
Left Corner,Right,N/A Off Dribble,Spot Up,1-2 Right/Left,Miss,Right,Open,0,2024-2025,12/27/2024
Right Wing,Left,Left,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/23/2025
Top,Left,From Hoop,Drive Kick,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,1/23/2025
Right Wing,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,1/23/2025
Left Corner,Stationary,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Right,Tight,3,2024-2025,1/23/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/25/2025
Top,To Hoop,Right,Spot Up,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,1/25/2025
Left Corner,Away From Hoop,Right,Pin Down,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/25/2025
Right Wing,Right,N/A Off Dribble,Iso,1-2 Left/Right,Miss,Left,Tight,0,2024-2025,1/25/2025
Left Wing,Stationary,Left,Spot Up,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,1/25/2025
Right Corner,Left,Left,Lift,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/25/2025
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/28/2025
Right Wing,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Open,0,2024-2025,1/28/2025
Left Corner,Left,From Hoop,Post Kick Out,1-2 Left/Right,Make ,N/A,Open,3,2024-2025,1/28/2025
Left Wing,Stationary,Right,Post Kick Out,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,1/28/2025
Top,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/28/2025
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,1/28/2025
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,1/28/2025
Left Wing,Right,Right,Lift,Hop  ,Miss,N/A,Open,0,2024-2025,1/28/2025
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/28/2025
Right Corner,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Tight,0,2024-2025,1/28/2025
Right Wing,Right,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Left to RightPickUp,Close,0,2024-2025,1/28/2025
Left Wing,Stationary,Right,Post Kick Out,Hop  ,Miss,N/A,Open,0,2024-2025,1/29/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,1/29/2025
Right Wing,Stationary,N/A Off Dribble,Iso,1-2 Right/Left,Make ,Right,Tight,3,2024-2025,1/29/2025
Left Wing,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,1/31/2025
Top,To Hoop,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,1/31/2025
Right Wing,Stationary,Left,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,1/31/2025
Top,Right,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,1/31/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,1/31/2025
Top,Right,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,1/31/2025
Right Wing,To Hoop,From Hoop,Post Kick Out,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,1/31/2025
Right Wing,Left,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Left,Tight,0,2024-2025,2/3/2025
Left Corner,Left,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/3/2025
Right Wing,Right,Left,Flare,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,2/3/2025
Right Wing,To Hoop,Left,Drive Kick,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,2/3/2025
Top,Stationary,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Left to RightPickUp,Close,0,2024-2025,2/5/2025
Right Wing,Left,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Left,Open,3,2024-2025,2/5/2025
Left Wing,To Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Tight,0,2024-2025,2/5/2025
Right Wing,Stationary,Left,Flare,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/5/2025
Right Wing,To Hoop,Left,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,2/5/2025
Right Corner,Right,Left,Flare,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,2/5/2025
Top,Left,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Left,Wide Open,0,2024-2025,2/5/2025
Left Wing,Away From Hoop,Right,Flare,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,2/5/2025
Top,Right,N/A Off Dribble,Spot Up,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,2/5/2025
Left Wing,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/5/2025
Top,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/6/2025
Right Wing,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/6/2025
Right Wing,Right,Left,Flare,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/6/2025
Left Corner,Stationary,N/A Off Dribble,Spot Up,1-2 Right/Left,Make ,Left,Wide Open,3,2024-2025,2/8/2025
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,N/A,Tight,0,2024-2025,2/8/2025
Left Corner,Stationary,Right,Drive Kick,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/8/2025
Right Wing,Left,Right,Flare,1-2 Right/Left,Make ,N/A,Close,3,2024-2025,2/8/2025
Top,Right,Left,Flare,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/8/2025
Top,Right,From Hoop,Drive Kick,Hop  ,Make ,N/A,Open,3,2024-2025,2/10/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/10/2025
Right Wing,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,2/10/2025
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/10/2025
Right Wing,Away From Hoop,Left,Flare,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,2/10/2025
Right Wing,Away From Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,2/12/2025
Left Wing,Right,From Hoop,DHO,Hop  ,Miss,N/A,Open,0,2024-2025,2/12/2025
Top,Left,N/A Off Dribble,Spot Up,1-2 Right/Left,Miss,Left,Open,0,2024-2025,2/13/2025
Left Wing,To Hoop,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,2/13/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,2/13/2025
Top,Away From Hoop,N/A Off Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,2/13/2025
Right Corner,Right,From Hoop,Spot Up,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/13/2025
Right Corner,Right,From Hoop,Drive Kick,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/13/2025
Right Wing,Away From Hoop,Right,Pin Down,Hop  ,Miss,N/A,Open,0,2024-2025,2/13/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,N/A,Tight,0,2024-2025,2/21/2025
Left Wing,Stationary,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,Right,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,2/21/2025
Top,Right,Right,Spot Up,1-2 Right/Left,Make ,N/A,Close,3,2024-2025,2/21/2025
Right Wing,Left,Left,Drive Kick,Hop  ,Miss,N/A,Open,0,2024-2025,2/21/2025
Right Wing,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Miss,N/A,Tight,0,2024-2025,2/21/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,2/21/2025
Left Wing,Stationary,From Hoop,Spot Up,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,2/21/2025
Top,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,To Hoop,N/A Off Dribble,Iso,1-2 Right/Left,Make ,Right,Open,3,2024-2025,2/23/2025
Right Wing,Right,N/A Off Dribble,Iso,1-2 Left/Right,Miss,Left,Tight,0,2024-2025,2/23/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,N/A,Wide Open,0,2024-2025,2/23/2025
Right Corner,Right,Left,Spot Up,1-2 Right/Left,Make ,N/A,Open,3,2024-2025,2/23/2025
Left Wing,Away From Hoop,Right,Flare,Hop  ,Make ,N/A,Open,3,2024-2025,2/23/2025
Right Wing,To Hoop,Left,Spot Up,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/25/2025
Right Wing,Right,Right,Post Kick Out,1-2 Right/Left,Make ,N/A,Close,3,2024-2025,2/27/2025
Top,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Make ,N/A,Wide Open,3,2024-2025,2/27/2025
Top,Right,N/A Off Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/27/2025
Left Wing,Left,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Left,Tight,0,2024-2025,2/27/2025
Top,Left,From Hoop,Post Kick Out,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,Hop  ,Miss,N/A,Open,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,1-2 Right/Left,Miss,N/A,Close,0,2024-2025,3/1/2025
Right Wing,Away From Hoop,N/A Off Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,3/1/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,N/A,Open,0,2024-2025,3/1/2025
